Mr White (Larry),Harvey Keitel
Mr Orange (Freddy),Tim Roth
Mr Blonde (Vic Vega),Michael Madsen
Nice Guy (Eddie Cabot),Chris Penn
Mr Pink,Steve Buscemi
Joe Cabot,Lawrence Tierney
Holdaway,Randy Brooks
Marvin Nash,Kirk Baltz
Mr Blue,Edward Bunker
Mr Brown,Quentin Tarantino
K Billy DJ,Steven Wright
Clarence Worley,Christian Slater
Alabama Whitman,Patricia Arquette
Dick Ritchie,Michael Rapaport
Elliot Blitzer,Bronson Pinchot
Lee Donowitz,Saul Rubinek
Clifford Worley,Dennis Hopper
Virgil,James Gandolfini
Drexl Spivey,Gary Oldman
Don Vincenzo Coccotti,Christopher Walken
Detective Nicky Dimes,Chris Penn
Detective Cody Nicholson,Tom Sizemore
Officer Wurlitzer,Michael Beach
Floyd,Brad Pitt
Mentor,Val Kilmer
Big Don,Samuel L. Jackson
Mary Louise Ravencroft,Conchata Ferrel
Vincent Vega,John Travolta
Jules Winnfield,Samuel L. Jackson
Mia Wallace,Uma Thurman
Winston Wolfe,Harvey Keitel
Ring (Pumpkin),Tim Roth
Yolanda (Honey Bunny),Amanda Plummer
Fabienne,Maria de Medeiros
Marsellus Wallace,Ving Rhames
Lance,Eric Stoltz
Jody,Rosana Arquette
Captain Koons,Christopher Walken
Butch Coolidge,Bruce Willis
Mickey Knox,Woody Harrelson
Mallory Wilson Knox,Juliette Lewis
Wayne Gale,Robert Downey Jr.
Detective Jack Scagnetti,Tom Sizemore
Warden Dwight McClusky,Tommy Lee Jones
Ed Wilson,Rodney Dangerfield
Mrs. Wilson,Edie McClurg
Kevin Wilson,Sean Stone
Warre Red Cloud,Russell Means
Earl,Lanny Flaherty
David,Evan Handler
Sonny,Richard Lineback
Roger,Kirk Baltz
Dr. Emil Reingold,Steven Wright
Deputy Warden Kavanaugh,Pruitt Taylor Vince
Deputy Sheriff Duncan Homolka,Joe Grifasi
Deputy Wurlitzer,Everett Quinton
Deputy,Marshall Bell
Deputy Sparky,Louis Lombardi
Dale Wrigley,Dale Dye
Mabel,O Lan James
Seth Gecko,George Clooney
Richard Richie Gecko,Quentin Tarantino
Jacob Fuller,Harvey Keitel
Katherine Fuller,Juliette Lewis
Santanico Pandemonium,Salma Hayek
Razor Charlie,Danny Trejo
Sex Machine,Tom Savini
Frost,Fred Williamson
Texas Ranger Earl McGraw,Michael Parks
FBI Agent Stanley Chase,John Saxon
Old Timer Motel Owner,Marc Lawrence
Newcaster Kelly Houge,Kelly Preston
Pete Bottoms,John Hawkes
The Titty Twister House Band,Tito and Tarantula
Bride (Black Mamba),Uma Thurman
O Ren Ishii (Cottonmouth),Lucy Liu
Bill (Snake Charmer),David Carradine
Vernita Green (Copperhead),Vivica A. Fox
Budd (Sidewinder),Michael Madsen
Elle Driver (California Mountain Snake),Daryl Hannah
Sofie Fatale,Julie Dreyfus
Hattori Hanzo,Sonny Chiba
Gogo Yubari,Chiaki Kuriyama
Johnny Mo,Gordon Liu
Earl McGraw,Michael Parks
Buck,Michael Bowen
Boss Tanaka,Jun Kinimura
Shiro,Kenji Ohna
Edgar McGraw,James Parks
Pai Mei,Gordon Liu
Esteban Vihaio,Michael Parks
Reverend Harmony,Bo Svenson
Mrs. Harmony,Jeannie Epper
Rufus,Samuel L. Jackson
Larry Gomez,Larry Bishop
Jay,Sid Haig
Stuntman Mike McKay,Kurt Russel
Zoe Bell,Zoe Bell
Abernathy Ross,Rosario Dawson
Arlene (Butterfly),Vanessa Ferlito
Jugle Julia Lucai,Sydney Tamiia Poitier
Kim Mathis,Tracie Thoms
Shanna,Jordan Ladd
Pam,Rose McGowan
Lee Montgomery,Mary Elizabeth Winstead
Warren,Quentin Tarantino
Marcy,Marcy Harriel
Dov,Eli Roth
Nate,Omar Doom
Omar,Michael Bacall
Lanna Frank,Monica Staggs
Jasper,Jonathan Lpughran
Dr. Dakota Block,Marley Shelton
Aldo Raine (The Apache),Brad Pitt
Shosanna Dreyfus (Emmanuelle Mimieux),Melanie Laurent
Hans Landa,Christoph Waltz
Donny Donowitz (The Bear Jew),Eli Roth
Archie Hicox,Michael Fassbender
Bridget von Hammersmark,Diane Kruger
Fredrick Zoller,Daniel Bruhl
Hugo Stiglitz,Til Schweiger
Wilhelm Wicki,Gedeon Burkhard
Marcel,Jacky Ido
Smithson Utivich (The Little Man),B. J. Novak
Omar Ulmer,Omar Doom
Hellstrom,August Diehl
Perrier LaPadite,Denis Menochet
Joseph Goebbels,Sylvester Groth
Adolf Hitler,Martin Wuttke
Ed Fenech,Mike Myers
Francesca Mondino,Julie Dreyfus
Werner Rachtman,Richard Sammel
Wilhelm,Alexander Fehling
Winston Churcill,Rod Taylor
Butz,Sonke Mohring
Walter Frazer,Sonke Mohring
Hirschberg,Samm Levine
Andy Kagan,Paul Rust
Michael Zimmerman,Michael Bacall
Mata Hari,Ken Duken
Eric,Christian Berkel
Django Freeman,Jamie Foxx
Dr. King Schultz,Christoph Waltz
Calvin J. Candle (Monsieur),Leonardo DiCaprio
Broomhilda von Schaft (Hildi),Kerry Washington
Stephen,Samuel L. Jackson
Spencer Bennet (Big Daddy),Don Johnson
Billy Crash,Walton Goggins
Ace Speck,James Remar
Butch Pooch,James Remar
Leonide Moguy (Leo),Dennis Christopher
Dicky Speck,James Russo
Mr. Stonecipher,David Steen
U.S. Marshal Gill Tatum,Tom Wopat
Cora,Dana Gourrier
Lara Lee Candie Fitzwilly,Laura Cayouette
D Artagnan,Ato Essandoh
Rodney,Sammi Rotibi
Frankie,Quentin Tarantino
Chicken Charlie,Omar J. Dorsey
Amerigo Vessepi,Franco Nero
Major Marquis Warren,Samuel L. Jackson
John Ruth,Kurt Russel
Daisy Domergue,Jennifer Jason Leigh
Chris Mannix,Walton Goggins
Senor Bob,Demian Bichir
Oswaldo Mobray,Tim Roth
Joe Gage,Michael Madsen
General Sandy Smithers,Bruce Dern
O.B. Jackson,James Parks
Minnie Mink,Dana Gourrier
Sih Horse Judy,Zoe Bell
Ed,Lee Horsley
Jody Domingre,Channing Tatum
Sweet Dave,Gene Jones
